Round Number,Date,Location,Home Team,Away Team
6,22/09/2018 15:00,King Power Stadium,Leicester,Huddersfield
6,22/09/2018 15:00,Anfield,Liverpool,Southampton
6,22/09/2018 15:00,Old Trafford,Man United,Wolves
6,22/09/2018 17:30,Amex Stadium,Brighton,Tottenham
6,23/09/2018 13:30,London Stadium,West Ham,Chelsea
6,23/09/2018 16:00,Emirates Stadium,Arsenal,Everton
7,29/09/2018 12:30,London Stadium,West Ham,Man United
7,29/09/2018 15:00,Emirates Stadium,Arsenal,Watford
7,29/09/2018 15:00,Goodison Park,Everton,Fulham
7,29/09/2018 15:00,John Smith's Stadium,Huddersfield,Tottenham
7,29/09/2018 15:00,Etihad Stadium,Man City,Brighton
7,29/09/2018 15:00,St. James' Park,Newcastle,Leicester
7,29/09/2018 15:00,Molineux Stadium,Wolves,Southampton
7,29/09/2018 17:30,Stamford Bridge,Chelsea,Liverpool
7,30/09/2018 16:00,Cardiff City Stadium,Cardiff,Burnley
7,01/10/2018 20:00,Vitality Stadium,Bournemouth,Crystal Palace
8,05/10/2018 20:00,Amex Stadium,Brighton,West Ham
8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield
8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves
8,06/10/2018 15:00,King Power Stadium,Leicester,Everton
8,06/10/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Cardiff
8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth
8,06/10/2018 17:30,Old Trafford,Man United,Newcastle
8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal
8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea
8,07/10/2018 16:30,Anfield,Liverpool,Man City
9,20/10/2018 12:30,Stamford Bridge,Chelsea,Man United
9,20/10/2018 15:00,Vitality Stadium,Bournemouth,Southampton
9,20/10/2018 15:00,Cardiff City Stadium,Cardiff,Fulham
9,20/10/2018 15:00,Etihad Stadium,Man City,Burnley
9,20/10/2018 15:00,St. James' Park,Newcastle,Brighton
9,20/10/2018 15:00,London Stadium,West Ham,Tottenham
9,20/10/2018 15:00,Molineux Stadium,Wolves,Watford
9,20/10/2018 17:30,John Smith's Stadium,Huddersfield,Liverpool
9,21/10/2018 16:00,Goodison Park,Everton,Crystal Palace
9,22/10/2018 20:00,Emirates Stadium,Arsenal,Leicester
10,27/10/2018 12:30,Old Trafford,Man United,Everton
10,27/10/2018 15:00,Amex Stadium,Brighton,Wolves
10,27/10/2018 15:00,Craven Cottage,Fulham,Bournemouth
10,27/10/2018 15:00,Anfield,Liverpool,Cardiff
10,27/10/2018 15:00,St. Mary's Stadium,Southampton,Newcastle
10,27/10/2018 15:00,Vicarage Road,Watford,Huddersfield
10,27/10/2018 17:30,King Power Stadium,Leicester,West Ham
10,28/10/2018 13:30,Turf Moor,Burnley,Chelsea
10,28/10/2018 13:30,Selhurst Park,Crystal Palace,Arsenal
10,28/10/2018 16:00,Tottenham Hotspur Stadium,Tottenham,Man City
11,03/11/2018 12:30,Vitality Stadium,Bournemouth,Man United
11,03/11/2018 15:00,Cardiff City Stadium,Cardiff,Leicester
11,03/11/2018 15:00,Goodison Park,Everton,Brighton
11,03/11/2018 15:00,Etihad Stadium,Man City,Southampton
11,03/11/2018 15:00,St. James' Park,Newcastle,Watford
11,03/11/2018 15:00,London Stadium,West Ham,Burnley
