MatchDate,HomeTeam,AwayTeam,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Referee,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,Home,Draw,Away
11/09/2002,Newcastle,Leeds,0,2,A,0,1,A,D Gallagher,22,14,11,6,15,12,10,7,3,2,0,0,2.1,3.25,3,2.13,3.2,3.19,1.9,3.1,3.5,2.2,3.2,2.8,2,3.25,3.25,2.2,3.2,3.1,2.088333333,3.2,3.14
11/09/2002,Southampton,Everton,1,0,H,0,0,D,S Bennett,11,18,7,10,13,19,4,13,3,3,0,0,2,3.25,3.25,1.9,3.3,3.5,2,3.1,3.2,2,3.2,3.2,2.1,3.25,3,2.1,3.25,3.25,2.016666667,3.225,3.233333333
11/09/2002,West Ham,West Brom,0,1,A,0,1,A,A D'Urso,5,6,3,5,11,15,8,4,1,0,0,0,1.571,3.4,5.5,1.6,3.45,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.53,3.4,6,1.571,3.4,6,1.581166667,3.425,5.35
14/09/2002,Bolton,Liverpool,2,3,A,0,1,A,R Styles,7,12,5,8,10,9,7,4,2,2,0,0,4.333,3.25,1.727,4.75,3.3,1.77,3.8,3.1,1.8,5,3.25,1.615,4.5,3.4,1.67,4.333,3.4,1.75,4.452666667,3.283333333,1.722
14/09/2002,Charlton,Arsenal,0,3,A,0,1,A,S Dunn,9,10,3,8,8,13,1,6,0,3,0,0,5,3.4,1.615,4.75,3.4,1.73,4.2,3.2,1.7,4.5,3.25,1.667,5,3.4,1.62,5,3.4,1.667,4.741666667,3.341666667,1.6665
14/09/2002,Chelsea,Newcastle,3,0,H,2,0,H,B Knight,7,5,5,0,9,9,2,4,1,4,0,0,1.909,3.25,3.5,2.05,3.25,3.25,1.8,3.1,3.8,2,3.2,3.2,2,3.25,3.25,2,3.25,3.5,1.959833333,3.216666667,3.416666667
14/09/2002,Everton,Middlesboro,2,1,H,1,1,D,M Messias,13,10,8,5,18,12,10,4,2,1,0,0,2.3,3.2,2.7,2.25,3.25,2.85,2.3,3,2.7,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.875,2.266666667,3.183333333,2.779166667
14/09/2002,Leeds,Man United,1,0,H,0,0,D,J Winter,8,6,2,5,15,12,4,7,2,1,0,0,2.75,3,2.375,2.9,3.25,2.41,2.7,3,2.3,2.6,3.2,2.375,2.88,3.2,2.2,2.875,3.2,2.3,2.784166667,3.141666667,2.326666667
14/09/2002,Sunderland,Fulham,0,3,A,0,1,A,C Foy,8,5,5,4,12,13,11,6,2,2,0,0,2.1,3.25,3,2.21,3.25,2.95,2.2,3,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,3,2.193333333,3.2,2.9
14/09/2002,West Brom,Southampton,1,0,H,0,0,D,D Gallagher,11,10,7,5,14,14,0,7,2,1,0,1,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.9,2.225,3.2,2.833333333
